   0.0000     0.0041
   0.1000     0.0048
   0.2000     0.0057
   0.3000     0.0066
   0.4000     0.0077
   0.5000     0.0096
   0.6000     0.0155
   0.7000     0.0225
   0.8000     0.0114
   0.9000     0.0071
   1.0000     0.0057
   1.1000     0.0050
   1.2000     0.0046
   1.3000     0.0045
   1.4000     0.0047
   1.5000     0.0053
   1.6000     0.0061
   1.7000     0.0072
   1.8000     0.0089
   1.9000     0.0149
   2.0000     0.0266
   2.1000     0.0132
   2.2000     0.0093
   2.3000     0.0083
   2.4000     0.0079
   2.5000     0.0078
   2.6000     0.0082
   2.7000     0.0092
   2.8000     0.0107
   2.9000     0.0127
   3.0000     0.0167
   3.1000     0.0326
   3.2000     0.0441
   3.3000     0.0184
   3.4000     0.0133
   3.5000     0.0112
   3.6000     0.0094
   3.7000     0.0080
   3.8000     0.0071
   3.9000     0.0066
   4.0000     0.0066
   4.1000     0.0070
   4.2000     0.0080
   4.3000     0.0112
   4.4000     0.0212
   4.5000     0.0174
   4.6000     0.0100
   4.7000     0.0078
   4.8000     0.0070
   4.9000     0.0067
   5.0000     0.0067
   5.1000     0.0071
   5.2000     0.0078
   5.3000     0.0086
   5.4000     0.0103
   5.5000     0.0179
   5.6000     0.0225
   5.7000     0.0106
   5.8000     0.0076
   5.9000     0.0066
   6.0000     0.0058
   6.1000     0.0053
   6.2000     0.0051
   6.3000     0.0052
   6.4000     0.0058
   6.5000     0.0067
   6.6000     0.0084
   6.7000     0.0122
   6.8000     0.0228
   6.9000     0.0239
   7.0000     0.0194
   7.1000     0.0323
   7.2000     0.0220
   7.3000     0.0155
   7.4000     0.0140
   7.5000     0.0128
   7.6000     0.0118
   7.7000     0.0113
   7.8000     0.0131
   7.9000     0.0221
   8.0000     0.0174
   8.1000     0.0094
   8.2000     0.0070
   8.3000     0.0060
   8.4000     0.0054
   8.5000     0.0052
   8.6000     0.0053
   8.7000     0.0057
   8.8000     0.0064
   8.9000     0.0073
   9.0000     0.0090
   9.1000     0.0161
   9.2000     0.0242
   9.3000     0.0116
   9.4000     0.0081
   9.5000     0.0068
   9.6000     0.0056
   9.7000     0.0046
   9.8000     0.0038
   9.9000     0.0031
  10.0000     0.0026
